"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6709";"S129219_1H20V21";"Ostrava";"Kladno";"S";5;5;4329;"LosingInTightEndgame";33,870821697417;0,3687095
"6710";"S129219_1H20V22";"Ostrava";"Kladno";"R";5;5;4329;"LeadingInTightEndgame";33,870821697417;NA
"6711";"S129219_1H21V22";"Kladno";"Ostrava";"R";4;5;4318;"LeadingInTightEndgame";35,6473187586207;1
"6712";"S129219_1H21V23";"Ostrava";"Kladno";"S";4;4;4322;"LeadingInTightEndgame";36,605235359116;0,3572543
"6713";"S129219_1H21V24";"Ostrava";"Kladno";"R";4;4;4322;"LeadingInTightEndgame";36,605235359116;1
"6714";"S129219_1H22V24";"Kladno";"Ostrava";"R";3;4;4358;"LosingInTightEndgame";34,8375782432432;1
"6715";"S129219_2H0V0";"Kladno";"Ostrava";"R";1;3;4344;"RegularGame";37,6329701977401;1
"6716";"S129219_2H0V1";"Ostrava";"Kladno";"R";2;1;4507;"RegularGame";34,3557433227848;1
"6717";"S129219_2H1V1";"Kladno";"Ostrava";"S";6;2;4445;"RegularGame";34,9852440199335;0,3694937
"6718";"S129219_2H2V1";"Kladno";"Ostrava";"R";6;2;4445;"RegularGame";34,9852440199335;1
"6719";"S129219_2H2V2";"Ostrava";"Kladno";"R";1;6;4321;"RegularGame";33,975641122807;1
"6720";"S129219_2H3V2";"Kladno";"Ostrava";"S";5;1;4449;"RegularGame";36,928840872093;0
"6721";"S129219_2H4V2";"Kladno";"Ostrava";"S";5;1;4449;"RegularGame";36,928840872093;0
"6722";"S129219_2H5V2";"Kladno";"Ostrava";"S";5;1;4449;"RegularGame";36,928840872093;0
"6723";"S129219_2H6V2";"Kladno";"Ostrava";"S";5;1;4449;"RegularGame";36,928840872093;0
"6724";"S129219_2H7V2";"Kladno";"Ostrava";"R";5;1;4449;"RegularGame";36,928840872093;1
"6725";"S129219_2H7V3";"Ostrava";"Kladno";"R";6;5;4508;"RegularGame";31,5618958510638;1
"6726";"S129219_2H8V3";"Kladno";"Ostrava";"S";4;6;4318;"RegularGame";35,6473187586207;0,4588627
"6727";"S129219_2H9V3";"Kladno";"Ostrava";"R";4;6;4318;"RegularGame";35,6473187586207;1
"6728";"S129219_2H9V4";"Ostrava";"Kladno";"S";5;4;4329;"RegularGame";33,870821697417;0,4164149
"6729";"S129219_2H9V5";"Ostrava";"Kladno";"S";5;4;4329;"RegularGame";33,870821697417;0
"6730";"S129219_2H9V6";"Ostrava";"Kladno";"S";5;4;4329;"RegularGame";33,870821697417;0
"6731";"S129219_2H9V7";"Ostrava";"Kladno";"S";5;4;4329;"RegularGame";33,870821697417;0
"6732";"S129219_2H9V8";"Ostrava";"Kladno";"R";5;4;4329;"RegularGame";33,870821697417;NA
"6733";"S129219_2H10V8";"Kladno";"Ostrava";"R";3;5;4443;"RegularGame";35,4042121759259;1
"6734";"S129219_2H10V9";"Ostrava";"Kladno";"S";4;3;4322;"RegularGame";36,605235359116;0
"6735";"S129219_2H10V10";"Ostrava";"Kladno";"R";4;3;4322;"RegularGame";36,605235359116;NA
"6736";"S129219_2H11V10";"Kladno";"Ostrava";"R";2;4;4437;"RegularGame";32,8818041071428;NA
"6737";"S129219_2H11V11";"Ostrava";"Kladno";"R";3;2;4323;"RegularGame";35,178943869863;1
"6738";"S129219_2H12V11";"Kladno";"Ostrava";"R";1;3;4344;"RegularGame";37,6329701977401;1
"6739";"S129219_2H12V12";"Ostrava";"Kladno";"R";2;1;4507;"RegularGame";34,3557433227848;0,4164149
"6740";"S129219_2H13V12";"Kladno";"Ostrava";"R";6;2;4445;"RegularGame";34,9852440199335;NA
"6741";"S129219_2H13V13";"Ostrava";"Kladno";"R";1;6;4321;"RegularGame";33,975641122807;1
"6742";"S129219_2H14V13";"Kladno";"Ostrava";"R";5;1;4449;"RegularGame";36,928840872093;1
